OTU	Original_sample	Max_across_culture	Plate1	Plate2	Plate3	Plate4	Plate5	Plate6	Plate7	Plate8	Plate9	Plate10	Plate11	Plate12	Plate13	Plate14	Plate15	Plate16	Plate17	Plate18	Plate19	Plate20	Plate21	Plate22	Plate23	Plate24	ConsensusLineage
1	0.012766317	0.240856289	0.00169083	0.096890639	0.017137097	0.157791411	0.063490536	0.219536871	0.001230273	0.075772952	0.039957208	0.122452738	0.022022022	0.21300089	8.53E-05	0.159747609	0.000361587	0.00125069	0.00027401	0.001730359	0.041078806	0.146088515	0.016683691	0.240856289	0.011959047	0.224908513	Root; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
2	0.918667568	0.992805755	0.963557218	0.001148577	0.010635081	0.000327198	0.076419634	0.00022482	0.977600543	0.012516068	0.682428457	0.007672477	0.406435006	0.00160285	0.992805755	0.04271621	0.992513028	0.346330697	0.991560488	0.106288197	0.010678931	0.000426785	0.75781896	0.000995685	0.577705125	0.000899874	Root; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
3	0.003254988	0.25342495	0.001906681	0.052424317	0.020211694	0.154478528	0.05466795	0.204923561	0.000296962	0.069887017	0.027654453	0.097287012	0.010868011	0.183437222	0.000142179	0.162201412	0.000361587	0.001581755	0.000137005	0.000773139	0.026658352	0.25342495	0.00389124	0.206306007	0.016060111	0.194552763	Root; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
4	0.000845451	0.194101831	0.000431701	0	0.019203629	0.01402863	0.042412576	0.004608813	0.000212116	0.012516068	0.000855844	0.003621409	0.004347204	0.037577916	8.53E-05	0.007261255	0.000106349	0.00014714	5.48E-05	3.68E-05	0.022215293	0.194101831	0.000145921	0.035413209	0.016060111	0.010738497	Root; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
5	0.001014542	0.003505433	0.000359751	0.000574288	0.000655242	0.000817996	0.00060956	0.000168615	0.00106058	0.000676544	0.000374432	0.002639332	0.0002002	0.000445236	0.000483408	0.003505433	0.000510475	0.00029428	0.000630223	0.000625874	0.001753839	0.000597499	0.000243202	0.000497843	0.000200751	0.00035995	Root; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus
6	0.005199527	0.381126349	0.004173112	0.062269259	0.014717742	0.154192229	0.03493744	0.381126349	0.000212116	0.174007171	0.029526611	0.16228824	0.022222222	0.277025824	5.69E-05	0.219089589	0.000255238	0.00169211	5.48E-05	0.001214933	0.007911762	0.269856173	0.009582178	0.226883505	0.011156041	0.290599316	Root; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
7	0.000549543	0.537944048	0.004496888	0.537944048	0.00015121	8.18E-05	0	0.00033723	0	0.502198769	0.001497727	0.324576479	0.0003146	0.000356189	5.69E-05	0.184385798	0.000233968	0.004598124	2.74E-05	0.003018923	0.000311794	0.00029875	0.000632326	3.32E-05	5.74E-05	6.00E-05	Root; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella
8	8.45E-05	0.010566378	0	0	0	0	0	0	0	0	0	0.00681316	0	0	0	0.010566378	0	0.000110355	0	0.000110448	3.90E-05	4.27E-05	0	0	0	0	Root; p__Fusobacteria; c__Fusobacteria; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium
9	0.000126818	0.403528226	0.001654855	8.20E-05	0.403528226	0	0.214533205	0	0.000212116	0	0.00010698	6.14E-05	0.037895038	8.90E-05	5.69E-05	0.000100155	0.000616824	7.36E-05	5.48E-05	0	0.000116923	0	0.002821149	0	0.131893659	0.000119983	Root; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia
11	0.000422726	0.047075647	7.20E-05	0	0.018145161	4.09E-05	0.005165223	5.62E-05	8.48E-05	0	0.000213961	0	0.047075647	0	2.84E-05	0	4.25E-05	0	2.74E-05	3.68E-05	3.90E-05	0	0.007685199	3.32E-05	0.007026298	6.00E-05	Root; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia
